text,Circulated as claim or as debunk or undecided,screen_name,user_id,tweet_id,retweet_count,created_at
@JobRicarda32 @FrancoisFillon Ah noooo! Macron aurait un compte offshore?C'est comme pour Weinstein ou Mazarine...… https://t.co/vhcIslvrtk,claim,Elise_Ri,2966120140,921304339947368448,0,2017-10-20T09:17:26.000Z
@grebert @StefanVersac récompensé pour avoir tenu sa langue sur le compte offshore de #Macron aux #Bahamas ou autre futur scandale ?,claim,jgilb48,4017280223,918877658540400640,0,2017-10-13T16:34:40.000Z
"#Macron @EmmanuelMacron : 3,6 millions d’euros de revenus, patrimoine négatif ! Un compte offshore, lui aussi ? https://t.co/5n3FMJrtDs",claim,UPR_Rhone,2257699153,832273544281210884,23,2017-02-16T17:00:50.000Z
"L'Échelle de Jacob: #Macron : 3,6 millions d'euros de revenus, patrimoine négatif ! Un compte offshore, lui aussi ?: https://t.co/9vzuFon1oh",claim,C_Cecile_,448313550,831055622544187392,10,2017-02-13T08:21:15.000Z
@Vogelsong Et le compte offshore de #Macron n'y est même pas compté dans le 80 milliards ! #macronleaks https://t.co/7cjn8IoiL9,claim,AlenaT3,1240801164,878884725921853440,3,2017-06-25T07:57:02.000Z
"@GilbertCollard Et à ça aussi #Macron : 3,6 millions d'euros de revenus, patrimoine négatif. Un compte offshore ? https://t.co/9vzuFon1oh",claim,C_Cecile_,448313550,837019947205332993,0,2017-03-01T19:21:21.000Z
"L'Échelle de Jacob: #Macron : 3,6 millions d’euros de revenus, patrimoine négatif ! Un compte offshore, lui aussi ? https://t.co/13ORr14Li6",claim,TodayZen,1149328063,830455559736393728,0,2017-02-11T16:36:49.000Z
@AntoniniAgnes @edwyplenel ILS ONT PARLE DU COMPTE OFFSHORE DE #MACRON ?,claim,denikine102,850414930981515300,860598776351903746,0,2017-05-05T20:55:12.000Z
#MACRON détient un compte offshore secret aux Îles Caïmans.,claim,thriftymaven,18367743,861003428587339777,0,2017-05-06T23:43:08.000Z
"@lemonde_pol SONDAGE : compte offshore ou pas ? ⤵⤵
 #Macron

https://t.co/lmY4iwBoEo",?,sondages2017_fr,858049964567662600,860163453469806592,0,2017-05-04T16:05:23.000Z
"@LCI SONDAGE : compte offshore ou pas ? ⤵⤵
 #Macron

https://t.co/lmY4iwBoEo",?,sondages2017_fr,858049964567662600,860165156193611776,0,2017-05-04T16:12:08.000Z
"@BuzzFeedFrance SONDAGE : compte offshore ou pas ? ⤵⤵
 #Macron

https://t.co/lmY4iwBoEo",?,sondages2017_fr,858049964567662600,860170927417458689,0,2017-05-04T16:35:04.000Z
"@mediapart SONDAGE : compte offshore ou pas ? ⤵⤵
 #Macron
https://t.co/lmY4iwBoEo",?,sondages2017_fr,858049964567662600,860163361216049153,0,2017-05-04T16:05:01.000Z
"@BFMTV SONDAGE : compte offshore ou pas ? ⤵⤵
 #Macron
https://t.co/lmY4iwBoEo",?,sondages2017_fr,858049964567662600,860168257130692608,0,2017-05-04T16:24:28.000Z
